Nazwa;Sztuka;Waga;Punkty;Data_waznosci
Filet z kurczaka;NaN;300;0;2022-01-07
Żurek z butelki;NaN;500;0;2022-01-29
Śmietana18;NaN;500;0;2022-01-16
Oliwa;NaN;400;0;2022-03-18
Cukier;NaN;760;0;2023-04-18
Kiełbasa;NaN;250;0;2022-01-08
Mąka pszenna;NaN;340;0;2023-01-09
Pieczarki;NaN;170;0;2022-01-03
Ziemniak;NaN;3000;0;2022-02-04
Masło;NaN;80;0;2022-01-28
Pomidor;4;NaN;0;2022-01-05
Płatki owsiane;NaN;300;0;2022-09-12
Kakao;NaN;70;0;2023-07-02
Masło orzechowe;NaN;240;0;2023-08-22
Chleb;20;NaN;0;2022-01-07
Jajka;9;NaN;0;2022-01-07
Czekolada mleczna;NaN;100;0;2022-06-19
Miód;NaN;1000;0;2023-11-30
Ser żółty;NaN;260;0;2022-01-10
Szynka;6;NaN;0;2022-01-07
Ser feta;2;NaN;0;2022-01-06
Keczup;NaN;380;0;2022-05-05
Czerwona cebula;1;NaN;0;2022-04-04
Jogobella truskawkowa;2;NaN;0;2022-01-04
Parówki;6;NaN;0;2022-01-05
Makaron spaghetti;NaN;300;0;2022-01-10
